ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
2439,2004,12,26,0,58,53.4,4,1,30,9.1,INDONESIA,,OFF W. COAST OF SUMATRA,3.316,95.854,60,50.9,,,,4,227899,4,,3,,,10000,4,,3,,,227899,4,,,,3,10000,4,,3,,
2487,2005,3,28,16,9,36.5,4,1,30,8.7,INDONESIA,,INDONESIA,2.085,97.108,60,4.2,,,,,10,1,,,,,,1,,,,,1313,4,,,340,3,,4,300,3,,
2875,2006,3,14,6,57,33.8,4,1,30,6.7,INDONESIA,,SERAM ISLAND,-3.595,127.214,83,3.5,,,,,4,1,,,,,,2,241,3,,,4,1,,,,,1,2,241,3,,
2832,2006,7,17,8,19,28.7,4,1,34,7.7,INDONESIA,,SOUTH OF JAVA,-9.254,107.411,60,20.9,,,,,802,3,498,3,,,55,4,1623,4,,,802,3,,,498,3,55,4,1623,4,,
3037,2007,4,1,20,39,56.3,4,1,10,8.1,SOLOMON ISLANDS,,SOLOMON ISLANDS,-8.46,157.044,82,12.1,,,,1,52,2,,,,,,3,2500,4,,,54,2,,,,,,3,2500,4,500,3
3044,2007,4,21,17,53,46.3,4,3,,6.2,CHILE,,SOUTHERN CHILE,-45.285,-72.606,89,7.6,,,,,10,1,,,,,,1,,,,,10,1,,,,,,1,,,2,1
3168,2007,8,15,23,40,57.8,4,1,39,8,PERU,,S. PERU,-13.386,-76.603,89,10.05,,,,1,3,1,,,,,,1,,1,,,514,3,,,1090,4,,4,39700,4,,
4440,2009,9,29,17,48,10.9,4,1,18,8.1,SAMOA,,SAMOA ISLANDS,-15.489,-172.095,81,22.35,,,,,192,3,7,1,,,285,4,,,,,192,3,,,7,1,285,4,,,,
4622,2010,1,12,21,53,10,4,3,13,7,HAITI,,HAITI & DOMINICAN REPUBLIC,18.457,-72.533,74,3.21,,,,,7,1,,,,,,1,,1,,,316000,4,,,300000,4,8000,4,97294,4,188383,4
4682,2010,2,27,6,34,11.5,4,1,23,8.8,CHILE,,CENTRAL CHILE,-36.122,-72.898,89,29,,,,,156,3,12000,4,,,30000,4,,,,,558,3,,,12000,4,30000,4,,,500000,4
4762,2010,4,13,,,,0,8,,,PERU,,"513 LAKE, HUALCAN GLACIER",-9.282,-77.645,89,23,,,,,1,1,,,,,,1,50,1,,,1,1,,,,,,1,50,1,,
5342,2010,10,25,14,42,22,4,1,20,7.8,INDONESIA,,SUMATRA,-3.487,100.082,60,16.9,,,,,431,3,,,,,39,4,700,3,,,431,3,,,,,39,4,700,3,,
5413,2011,3,11,5,46,24.1,4,1,30,9.1,JAPAN,,HONSHU ISLAND,38.297,142.372,85,38.9,,,,,18453,4,6152,4,,,220085.456,4,127511,4,273796,4,18453,4,,,6152,4,220085.456,4,127511,4,273796,4
5467,2012,10,28,3,4,8.8,4,1,14,7.7,CANADA,BC,BRITISH COLUMBIA,52.788,-132.101,88,12.98,,,,2,1,1,,,,,,,,,,,1,1,,,,,,,,,,
5476,2013,2,6,1,12,25.8,4,1,24,7.9,SOLOMON ISLANDS,,SANTA CRUZ ISLANDS,-10.766,165.114,82,11,,,,2,10,1,15,1,,,,2,588,3,478,3,10,1,,,15,1,,2,588,3,478,3
5590,2015,9,16,22,54,32,4,1,22,8.3,CHILE,,CENTRAL CHILE,-31.573,-71.674,89,13.6,,8.4,,,8,1,,,,,,1,,,,,15,1,1,1,14,1,600,4,2305,4,10044,4
5643,2017,3,20,4,40,,0,9,,,IRAN,,PERSIAN GULF,27.835,51.94,30,,,,,,2,1,22,1,4,1,,2,80,2,,,2,1,4,1,22,1,,2,80,2,,
