I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
4179,Tsu,1958,11,6,22,58,8.6,40,8.3,8.3,,,,,8.2,10,RUSSIA,,RUSSIA:  KURIL ISLANDS:  S,44.53,148.54,50,,,,,,,,2,,,,,,,,,,,,,,,,
6382,Tsu,1958,11,12,20,23,    ,29,,,,,,,,,RUSSIA,,RUSSIA:  S. KURIL ISLANDS,44.2,148.8,50,,,,,,,,,,,,,,,,,,,,,,,,
6383,Tsu,1959,1,22,5,10,    ,40,,,,,,,,,JAPAN,,"SANRIKU, JAPAN",37.5,142.2,30,,,,,,,,,,,,,,,,,,,,,,,,
6384,Tsu,1959,2,7,9,36,51,19,7.4,,7.4,,,,,7,PERU,,PERU-ECUADOR,-4,-81.5,160,,,,,,,,1,,,,1,,,,,,,,1,,,,1
6385,Tsu,1959,4,9,12,24,20,40,5,,5,,,,,,RUSSIA,,RUSSIA:  S. KURIL ISLANDS,44.3,149,50,,,,,,,,,,,,,,,,,,,,,,,,
4192,Tsu,1959,5,4,7,15,42,60,8.2,8.2,8,,,,,10,RUSSIA,,RUSSIA:  NEAR EAST COAST OF KAMCHATKA,52.5,159.5,50,1,1,,,13,1,,2,,2,,,1,1,,,13,1,,2,,2,,
4198,Tsu,1959,8,17,21,4,40,,7.3,,7.3,,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS,-7.5,156,170,,,,,,,,3,,,,,,,,,,,,3,,,,
4199,Tsu,1959,8,18,6,37,13.5,5,7.7,,,,7.7,,7.1,10,USA,MT,MONTANA:  HEBGEN LAKE,44.712,-111.215,150,28,1,,,,,11,3,,,,,28,1,,,,,11,3,,,,
6590,Tsu,1959,10,26,7,35,    ,10,,,,,,,,,JAPAN,,"SANRIKU, JAPAN",37.5,143.2,30,,,,,,,,,,,,,,,,,,,,,,,,
4211,Tsu,1960,1,13,15,40,34,160,7.8,,7.8,,,,,10,PERU,,"PERU:  AREQUIPA,CHUQUIBAMBA,CARAVELI,COTAHUASI",-15.75,-72.75,160,63,2,,,200,3,,3,,3,,,63,2,,,200,3,,3,,3,,
