I_D,TSEVENT_ID,YEAR,LATITUDE,LONGITUDE
905,958,1866,-14.18,-169.66
920,960,1866,48.12,-122.75
19382,965,1867,37,25.16667
19377,965,1867,37.5,15.1
19378,965,1867,37.0511,22.0078
907,965,1867,37.79,20.9
19379,965,1867,42.0667,19.5131
19380,965,1867,38.18,15.562
911,965,1867,36.77,22.57
916,965,1867,37.0389,22.1142
19376,965,1867,36.95,21.9333
917,965,1867,35.5122,24.0156
906,965,1867,36.755,22.5642
908,965,1867,37.45,24.9
912,965,1867,36.6667,22.5
915,965,1867,40.6333,17.9333
918,965,1867,38.2019,20.4314
919,965,1867,38.1731,20.4819
909,965,1867,37.15,24.5
914,965,1867,39.62,19.9197
910,965,1867,36.6667,22.55
913,965,1867,37.45,24.9333
19385,965,1867,,
19383,965,1867,38.7,20.578
19384,965,1867,35.2539,25.6097
19381,965,1867,35.9,14.4
6698,962,1867,10.65,-63.233
6697,962,1867,10.903,-64.109
930,966,1867,16.333,-61.7
923,966,1867,12.05,-61.75085
934,966,1867,18.325833,-65.6525
935,966,1867,18.45,-66.117
936,966,1867,18.146667,-65.416667
937,966,1867,18.050556,-65.879444
939,966,1867,17.9,-62.833
940,966,1867,17.3,-62.718
942,966,1867,17.711667,-64.881944
943,966,1867,17.747667,-64.699944
945,966,1867,18.053,-63.13773
946,966,1867,18.33846,-64.948758
921,966,1867,13.008,-61.247
926,966,1867,16.3,-61.8
929,966,1867,16.2411,-61.5331
28030,966,1867,17.677778,-64.9
7783,966,1867,17.965833,-66.061389
7787,966,1867,15.5,-61.333
7788,966,1867,13.883,-60.967
924,966,1867,12.166389,-61.73
28019,966,1867,17.748667,-64.891944
28020,966,1867,12.725,-61.32
28021,966,1867,12.483333,-61.446667
28023,966,1867,15.416667,-61.333333
28024,966,1867,18.182388,-77.321777
28026,966,1867,17.75688056,-64.73586111
28028,966,1867,13.76,-61.036
28029,966,1867,17.9762,-66.297
28031,966,1867,17.483333,-62.966667
28032,966,1867,12.456,-61.486
28035,966,1867,18.481889,-64.40153
28038,966,1867,13.9,-60.96
28040,966,1867,12.1166667,-61.6166667
28044,966,1867,13.266,-61.261
28045,966,1867,15.863889,-61.584444
28046,966,1867,17.001,-61.756667
28047,966,1867,13.008,-61.23
28048,966,1867,13.9401,-61.0431
29113,966,1867,17.333,-62.75
