ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
1876,1957,11,1,5,0,,-1,9,,,USA,HI,HAWAII,,,80,0.1,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,
1875,1957,11,,,,,2,0,,,SOLOMON ISLANDS,,"MALAITA ISLAND, SOLOMON ISLANDS",-8.57,160.72,82,2.7,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,1958,1,19,14,7,27,4,1,60,7.6,ECUADOR,,COLOMBIA-ECUADOR,1.5,-79.5,89,,,,2,,4,1,,,,,,1,,1,,,115,3,,,46,1,,2,,2,,
3574,1958,2,7,23,23,36,0,1,,6.2,CHINA,,SICHUAN PROVINCE,31.5,105,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,1958,4,9,,,,-1,1,,,PERU,,PERU,,,89,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
1879,1958,4,21,22,37,46,2,1,200,6.5,INDONESIA,,"BENGKULU, SUMATRA",-4.5,104,60,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
1880,1958,7,10,6,15,59.9,4,3,35,7.8,USA,AK,"SE. ALASKA, AK",58.37,-136.665,87,524.6,,4.6,5,,5,1,,,,,0.1,1,,1,,,5,1,,,,,0.1,1,,1,,
1881,1958,9,17,12,24,,2,1,40,5,RUSSIA,,N. KURIL ISLANDS,48.6,156.1,86,0.23,,-2.3,-1,,,,,,,,,,,,,,,,,,,,,,,,,
1882,1958,10,7,10,0,,1,6,,,VANUATU,,KUWAE VOLCANO,-16.829,168.536,82,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1883,1958,11,4,22,54,46,1,1,,6.1,PACIFIC OCEAN,,EAST PACIFIC RISE,-50,-115,89,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,1958,11,6,22,58,8.6,4,1,40,8.3,RUSSIA,,S. KURIL ISLANDS,44.53,148.54,86,5,,2,2.5,,,,,2,,,,2,,,,,,,,,,,,2,,,,
1885,1958,11,12,20,23,,2,1,29,7,RUSSIA,,S. KURIL ISLANDS,44.2,148.8,86,1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,
1886,1959,1,22,5,10,0,4,1,40,6.8,JAPAN,,SANRIKU,37.5,142.2,85,0.8,,-0.3,-2,,,,,,,,,,,,,,,,,,,,,,,,,
1887,1959,2,7,9,36,51,1,1,19,7.4,PERU,,N. PERU,-4,-81.5,89,0.4,,,-2,,,,,,,,,,,,,,,,,,,,,1,,,,1
1888,1959,2,23,,,,1,0,,,GREECE,,"GRECIAN ARCHIPELAGO, CRETE",40.63,22.97,50,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
